id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1564161569537363968,1564161569537363968,2022-08-29 10:02:33 Hora de verano romance,2022-08-29,10:02:33,+0200,1162694149956603904,thebridge_tech,The Bridge,,"📺Hemos salido en @sextaNoticias como ejemplo de #reskilling gracias a los #bootcamps 🧑‍💻  🟢""Apostar por estos procesos de reciclaje a las empresas les cuesta menos y tiene también menos coste social"",@ikerarceseco, CEO @TheBridge_Tech   Noticia completa👉 https://t.co/00YLRaZyt9",es,"[{'screen_name': 'sextanoticias', 'name': 'lasexta noticias', 'id': '82084630'}, {'screen_name': 'ikerarceseco', 'name': 'iker arce seco', 'id': '14645579'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://bit.ly/3AyjuD0'],[],0,1,2,"['reskilling', 'bootcamps']",[],https://twitter.com/TheBridge_Tech/status/1564161569537363968,False,,0,,,,,,,,[],,,,
1563587175220137986,1563587175220137986,2022-08-27 20:00:07 Hora de verano romance,2022-08-27,20:00:07,+0200,346719304,thebridgetech,Rickey Moore,,These parts are being used to creat the autonomous lawn mower @ The Bridge Tech  https://t.co/BvQpM4RMZ7,en,[],['https://www.instagram.com/p/Chxa--XuFbc/?igshid=YTgzYjQ4ZTY='],[],0,0,0,[],[],https://twitter.com/TheBridgeTech/status/1563587175220137986,False,,0,,,,,,,,[],,,,
1563552167935426561,1563552167935426561,2022-08-27 17:41:00 Hora de verano romance,2022-08-27,17:41:00,+0200,346719304,thebridgetech,Rickey Moore,,"The jetbot we've been working on @ Greenville, South Carolina  https://t.co/KGvKmoYprC",en,[],['https://www.instagram.com/p/ChxLD-erJOi/?igshid=YTgzYjQ4ZTY='],[],0,0,1,[],[],https://twitter.com/TheBridgeTech/status/1563552167935426561,False,,0,,,,,,,,[],,,,
1563117283601289216,1563117283601289216,2022-08-26 12:52:56 Hora de verano romance,2022-08-26,12:52:56,+0200,1162694149956603904,thebridge_tech,The Bridge,,"¿Cómo es hacer un #bootcamp mientras estudias o trabajas?💪 Nos lo cuenta José Miguel, alumno del bootcamp de #desarrollowebfullstack en formato #parttime   ¡Echa un vistazo a su experiencia en @thebridge! 👀👇  Más info sobre el #parttime  https://t.co/ZuOQNwWc1H  https://t.co/AOMd0zx3FI",es,"[{'screen_name': 'thebridge', 'name': 'thebridge', 'id': '10502382'}]",['https://bit.ly/3OXX1pf'],[],0,1,1,"['bootcamp', 'desarrollowebfullstack', 'parttime', 'parttime']",[],https://twitter.com/TheBridge_Tech/status/1563117283601289216,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1563116949307006976/pu/img/qbuhR-R-LoLLZlVH.jpg,,,,,,,[],,,,
1562455573613817859,1562455573613817859,2022-08-24 17:03:32 Hora de verano romance,2022-08-24,17:03:32,+0200,428513442,innovaspain,Innovaspain,,@TheBridge_Tech y la Fundación @uc3m firman un convenio para ofrecer #Bootcamps de #FullStak a partir de 2023 en el Campus de Puerta de Toledo.   https://t.co/S86r7sIygQ,es,"[{'screen_name': 'uc3m', 'name': 'uc3m', 'id': '57623076'}]",['https://lnkd.in/dWZXV3jU'],[],0,0,0,"['bootcamps', 'fullstak']",[],https://twitter.com/Innovaspain/status/1562455573613817859,False,,0,,,,,,,,[],,,,
1562432037436489728,1562432037436489728,2022-08-24 15:30:00 Hora de verano romance,2022-08-24,15:30:00,+0200,2846700448,conferenciacs,ConferenciaCS,,La @uc3m se une a @TheBridge_Tech para potenciar la formación en desarrollo web.  Ambas entidades ofrecerán bootcamps de Full Stak a partir de 2023 en el Campus de Puerta de Toledo  #UniversidadExcelente    https://t.co/b6W9OGHMg1,es,"[{'screen_name': 'uc3m', 'name': 'uc3m', 'id': '57623076'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://www.innovaspain.com/universidad-carlosiii-the-bridge-formacion-programcion-full-stack/'],[],0,2,2,['universidadexcelente'],[],https://twitter.com/conferenciacs/status/1562432037436489728,False,,0,,,,,,,,[],,,,
1562020403199066112,1562020403199066112,2022-08-23 12:14:19 Hora de verano romance,2022-08-23,12:14:19,+0200,1162694149956603904,thebridge_tech,The Bridge,,¡Ven a nuestro Open Day #Sevilla! 🙌Acércate a conocer el campus de @ENCamaraSevilla y todo sobre los bootcamps en #ciber #data y #fullstack 🧑‍💻¿Quieres acelerar tu carrera digital?  🎟Saca ya tu entrada y si quieres vente con un amig@ 👇 https://t.co/Ic7PjZCIlt  ¡Te esperamos!,es,"[{'screen_name': 'encamarasevilla', 'name': 'escuela de negocios', 'id': '163586106'}]",['https://bit.ly/3wqGwdX'],[],0,1,2,"['sevilla', 'ciber', 'data', 'fullstack']",[],https://twitter.com/TheBridge_Tech/status/1562020403199066112,False,,0,,,,,,,,[],,,,
1560688806445174790,1560688806445174790,2022-08-19 20:03:02 Hora de verano romance,2022-08-19,20:03:02,+0200,89141857,emprenemjunts,Emprenemjunts,,"🤝🏼 @ceeivalencia y @TheBridge_Tech, primera aceleradora de talento digital, firman un convenio de colaboración:  https://t.co/8neFc4j8i4  🎯 Complementar la formación técnica del nuevo talento, entre sus principales objetivos.",es,"[{'screen_name': 'ceeivalencia', 'name': 'ceei valencia', 'id': '284115545'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['http://ow.ly/54Up50JM4eM'],[],0,1,0,[],[],https://twitter.com/emprenemjunts/status/1560688806445174790,False,,0,,,,,,,,[],,,,
1559223651538436098,1559223651538436098,2022-08-15 19:01:02 Hora de verano romance,2022-08-15,19:01:02,+0200,1941897590,coursereport,Course Report,,"🏆 We're rounding up the 16 Best UI/UX Design Bootcamps of 2022, including @Shillington_, @Skillcrush, @Springboard, @TheBridge_Tech, and @thinkful!   Check out the full list here:  https://t.co/fZwEQNAICB  https://t.co/ZvmtZTtnkM",en,"[{'screen_name': 'shillington_', 'name': 'shillington', 'id': '78269467'}, {'screen_name': 'skillcrush', 'name': 'skillcrush', 'id': '507709379'}, {'screen_name': 'springboard', 'name': 'springboard', 'id': '1533654390'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'thinkful', 'name': 'thinkful', 'id': '994394408'}]",['https://bit.ly/best-ux-design-bootcamps'],['https://pbs.twimg.com/media/FaN5pdlXkAAT0Nt.jpg'],0,6,5,[],[],https://twitter.com/CourseReport/status/1559223651538436098,False,,1,https://pbs.twimg.com/media/FaN5pdlXkAAT0Nt.jpg,,,,,,,[],,,,
1559185732023074816,1559185732023074816,2022-08-15 16:30:21 Hora de verano romance,2022-08-15,16:30:21,+0200,1941897590,coursereport,Course Report,,"🏆 We're rounding up the 27 Best Data Science Bootcamps of 2022, including @Springboard, @thinkful, @TheBridge_Tech, @turing_college, and @wbscodingschool! Check out the full list here:  https://t.co/AxN29a2FNR  https://t.co/x7mYWVhVVL",en,"[{'screen_name': 'springboard', 'name': 'springboard', 'id': '1533654390'}, {'screen_name': 'thinkful', 'name': 'thinkful', 'id': '994394408'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'turing_college', 'name': 'turing college', 'id': '1256502416633192451'}, {'screen_name': 'wbscodingschool', 'name': 'bootcamp dre', 'id': '1199284273783726081'}]",['https://bit.ly/best-data-science-bootcamps'],['https://pbs.twimg.com/media/FaNXKQUWAAA64tt.jpg'],0,2,5,[],[],https://twitter.com/CourseReport/status/1559185732023074816,False,,1,https://pbs.twimg.com/media/FaNXKQUWAAA64tt.jpg,,,,,,,[],,,,
